Lipids,rh_caudalanteriorcingulate_volume,rh_caudalmiddlefrontal_volume,rh_cuneus_volume,rh_entorhinal_volume,rh_fusiform_volume,rh_inferiorparietal_volume,rh_inferiortemporal_volume,rh_isthmuscingulate_volume,rh_lateraloccipital_volume,rh_lateralorbitofrontal_volume,rh_lingual_volume,rh_medialorbitofrontal_volume,rh_middletemporal_volume,rh_parahippocampal_volume,rh_paracentral_volume,rh_parsopercularis_volume,rh_parsorbitalis_volume,rh_parstriangularis_volume,rh_pericalcarine_volume,rh_postcentral_volume,rh_posteriorcingulate_volume,rh_precentral_volume,rh_precuneus_volume,rh_rostralanteriorcingulate_volume,rh_rostralmiddlefrontal_volume,rh_superiorfrontal_volume,rh_superiorparietal_volume,rh_superiortemporal_volume,rh_supramarginal_volume,rh_transversetemporal_volume,rh_insula_volume,rh_temporalpole_volume,lh_caudalanteriorcingulate_volume,lh_caudalmiddlefrontal_volume,lh_cuneus_volume,lh_entorhinal_volume,lh_fusiform_volume,lh_inferiorparietal_volume,lh_inferiortemporal_volume,lh_isthmuscingulate_volume,lh_lateraloccipital_volume,lh_lateralorbitofrontal_volume,lh_lingual_volume,lh_medialorbitofrontal_volume,lh_middletemporal_volume,lh_parahippocampal_volume,lh_paracentral_volume,lh_parsopercularis_volume,lh_parsorbitalis_volume,lh_parstriangularis_volume,lh_pericalcarine_volume,lh_postcentral_volume,lh_posteriorcingulate_volume,lh_precentral_volume,lh_precuneus_volume,lh_rostralanteriorcingulate_volume,lh_rostralmiddlefrontal_volume,lh_superiorfrontal_volume,lh_superiorparietal_volume,lh_superiortemporal_volume,lh_supramarginal_volume,lh_transversetemporal_volume,lh_insula_volume,lh_frontalpole_volume,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Left-VentralDC,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,WM-hypointensities,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior
SPH,0.07115348795689212,0.05667600827408717,0.06235721595328782,-0.0001840122101021684,0.06199661082417506,0.052921073844619554,0.04672071876387934,0.0397228711464669,0.032357006270419875,-0.05433246262412739,-0.00859367944093789,-0.009420102269222595,0.019361775991775312,-0.011860534531498356,0.04199327217360881,-0.027952241276747065,-0.11439973162782441,-0.08339677820895712,0.06213838228090369,0.059807008491308454,0.05544061760292667,-0.00968973405704023,0.03514292885672445,0.00025771918903397077,0.021086681812491403,-0.018617586621035048,0.04684367658543549,-0.014543716914867047,-0.004752622884428038,-0.06081519746697444,-0.0013875710626645868,-0.01929442115537253,0.07477105222115599,-0.03297571604051759,0.07458818846715609,0.06556504185185164,-0.0031720762725162372,-0.0001219256111215268,-0.033364622317959114,0.021479093467517616,0.033360446521179865,-0.05963777130219561,0.023361143722430346,-0.002552778389498772,-0.02148219707342104,0.016445531439028667,-0.014245047214556009,-0.01846978586205088,-0.04700770608155912,-0.11859420540191536,0.06406274990676475,0.021514529839523684,0.07712217633189983,0.018270181539588915,0.042965231076870926,0.015012430600414975,-0.042464396117162795,-0.021777833694071116,0.03029494545952991,-0.04401996062841589,-0.022726607886839008,-0.07926724761286015,-0.011559308313902224,,-0.04762111054109883,-0.05655049514933921,-0.04283019559276106,-0.08424138019330701,-0.07740043779104856,-0.07279175250685865,-0.08677982243038762,-0.02710184863014052,-0.01822308194806893,-0.001912810343147392,-0.035244120151157084,-0.06201828789599225,-0.042221931016454516,-0.02039736116312931,-0.07057420279170125,-0.07227103058892843,-0.057571765049047145,-0.042315577563381515,-0.02899143400213874,-0.002464015311006822,-0.03093321492992875,-0.03948483074618263,-0.026365260027926968,-0.059245006219257004,-0.07542473284201605,-0.059646324092486484,-0.019070794108677614
S1P,0.042681121697404935,0.08836651996921926,0.10055438698180642,0.06816313708160214,0.02834612832246322,0.07231992699704345,0.10913369994515393,0.08178769314359688,0.054815314597479216,0.04219035350127809,0.036419229161091415,0.03228720947055119,0.1325021154048745,0.009589615597596267,0.0326880383646875,0.022294459627588574,0.02995727209119599,-0.03171286007689868,0.03619174966130098,0.09237843458026535,0.02034279200691696,0.02027743735499497,-0.00406636334643515,0.10242564980335736,0.016681042310363728,0.0909648176809997,0.029194483998513654,0.05967875002200212,-0.0025271521155909487,0.057338160288349094,0.12332567603898668,-0.020393331705933795,0.15777422449897402,0.013852261822530423,0.09390827804835632,0.08288985255117931,-0.026169915816019004,0.022819794671690662,0.0659164040270927,0.011624370236226039,0.09944044897220439,0.02954923339689777,0.005129631420934538,0.06973770041264021,0.03993004301226852,0.03716771076930093,-0.005467159347604213,0.12085248988926524,0.02298074020871433,-0.0008226327439829046,0.06692443438682892,0.10002878714615643,0.046468829719695806,0.023232759022538383,-0.020551783743433808,0.08758073594928636,0.002723182912800291,0.029135722734757008,0.03231651115598841,0.018846409165875603,-0.04742791669116729,-0.0444082251047834,0.061122418996794076,,0.04716045522140975,0.12132400539635209,0.11051235016214925,0.015264112116527458,0.027920305132307845,-0.02586105633707785,-0.021069468412367457,0.06656576412891432,0.083725564914303,0.07234729932811838,0.09472100889096192,0.058174443349818854,0.11215292911523227,0.0908933064944371,0.0693080023724888,0.03755643250022015,0.0631882588101457,0.13875531720512593,0.1318165166949602,0.11711715569144371,0.09639838184547257,0.03780092174895915,0.0057476113431197545,-0.046926767392903496,-0.030174898380289684,0.014829235927680191,0.07771258612303361
DHCER,0.05695768403860451,0.07830068367259356,0.1258536031238153,0.030883739884993176,0.041624433021534596,0.0011254366769478676,0.015346788191446744,0.05575688784555046,0.00849936285805613,0.08743425185017244,0.0865238113055685,0.07374177933014324,0.03770304342904162,0.05924562918214956,0.09809415232327032,0.0482810593699491,0.005251682407161123,0.06651123954549658,0.14595408494426204,0.08206914300825692,0.11155835175340788,0.09657090515794388,0.1594450526077884,0.035677160688787006,0.17922539225957893,0.11602178285560519,0.113303811408034,0.041679887063523595,0.11541794040891538,0.09803553136227865,0.05355287511563665,0.13618039346034927,-0.00393807524046395,0.06787086040645637,0.04961487206595769,-0.007174214395917202,0.0684964451547358,-0.009664517972149927,0.07503659780025784,0.02787158653358215,0.012688683342139375,0.10915089673477438,0.047110754914388285,0.10876100385616662,0.12715879149979845,0.03045384820897874,0.06801112132855755,0.10846293713419058,0.029178953559149644,0.10737645086835948,0.06783630061421934,0.06384647534845898,0.12346210822986729,0.11618567258719638,0.11914918029587122,0.02106748293959849,0.09284346881673507,0.11832656017725755,0.08467303029821606,0.0801152202628666,0.19695753260737042,0.13478000766410958,0.11378391987080094,,0.10225953908225018,0.023861485891938875,0.011274278089484634,-0.08561185394096363,-0.032611589308912045,0.025374273727547386,0.04308840454258758,0.09554205725638945,0.03748490934974609,0.03302312713563582,0.060716033005099486,0.06398203372023774,0.044156082923279306,0.05975566236189683,-0.05686792727722522,-0.05802237740049743,0.005625490986137011,0.07876748061099895,0.05588832560040211,0.04477166650164751,0.05262814357099129,-0.07690261647620315,0.04219726909672928,0.017292358222207302,0.06857238426118768,-0.002499279836445309,0.034400744923300176
CER,-0.014382810455492097,0.10923457631135639,0.04582257599577977,-0.04202992770005219,-0.02474087458169007,0.008988936924791753,-0.0914287780416455,0.04981228670598483,0.005621768150511271,0.10551087789340388,0.10269748292534966,0.10953894686150503,-0.056032151489133944,-0.018636914143404102,0.10364671998792335,0.016176652685219377,-0.0033331899999798974,0.0688443066220867,0.11651761509762527,0.10442900758841142,-0.009069105115980827,0.07189786871394833,0.10676993693875485,0.058654703129308955,0.13531545656272537,0.11070872117417661,0.05449101374407782,-0.05793569668510812,0.03295383591776253,0.08246775783208578,0.0995811857208653,0.08166690498002836,0.07742219518442672,0.09666614118282592,-0.009333848276801065,-0.08503679382576272,0.037987965802602976,-0.02982549805228153,0.0011343482095713796,0.06529850071367602,-0.0007452578608602801,0.11403570787268431,0.015734222410268162,0.06753467915240509,-0.006474648401607442,-0.040235388507070376,0.02288971921676198,0.1635252657899881,0.049085404047135885,0.18982519223080316,0.07386893058465058,0.00046916190988956,0.05173312302912965,0.07109134964466364,0.06473689944315937,0.05590048154403905,0.1305180424250763,0.05336204795982096,0.10637236825210317,-0.04325693208406914,0.12570989859136505,0.08558472492746712,0.1644540789444345,,0.08522907971024166,0.06814528306178297,-0.00800492351590114,0.03013821040392199,-0.008752705684782069,0.014855668673112075,-0.0068224851073762915,-0.0026884589411674577,0.02246901921038906,0.06264540230913135,0.025787741096133635,0.04559802402433813,0.0795492318577911,0.0014040133796131226,0.03373574889721464,-0.021196313161393737,0.027498128230216832,0.0036621008701214633,0.03666182312169201,0.029241469484319677,0.0256041520721001,0.008505728697710411,-0.023241672802670504,0.0019832976137418917,-0.042022283004243044,-0.02638953368559513,0.01151539767401377
CER1P,-0.10269721189857128,0.011582595597045678,0.016659184399808548,0.08318531076682494,-0.013803284442072909,-0.00790047118679147,-0.07302101125025616,-0.046760567409840366,-0.01992031342406475,0.018410150550614644,-0.021085915902855107,-0.017412917574173903,-0.08702771690964652,0.09580313432298591,0.025079712063194686,0.07519270729418127,0.019334252733680064,0.0006965058143913951,0.05310772097324284,0.028196378868319997,-0.022178821447000552,0.08530021140797409,-0.087335529837041,-0.04088212120144816,-0.015813463006875847,0.008583363770757822,-0.07599182058764645,-0.07938553487245914,-0.028958526750483,-0.00514860640260749,-0.007172656521551895,-0.08172978836392891,-0.0018631852933769615,-0.037356987503807206,0.00558172963880928,0.03156855324904144,-0.00669073090726248,0.036683692923603115,-0.07339096318597949,-0.03314862495478106,0.04479861645538409,0.015063730912122474,-0.032221814656008964,0.06966847696896708,0.0021736926098099305,0.00035942987692810183,-0.024039940858338712,0.09119702999846957,0.03245425562178256,0.034940842496998144,0.011363212592090374,-0.024195295758517237,0.010328927602576622,0.043904737343000794,-0.036270488775853406,-0.06497699805002674,0.03288844103378224,-0.018258373809161368,-0.027831997120910536,-0.06619274405425832,-0.01842890192379598,0.047754919535774557,-0.04293529453968095,,0.05014450297376256,0.027577663833852368,-0.021609025696030043,-0.03718010050663406,0.02587389622768096,0.04757272092919703,0.150842957222244,-0.03826925962309701,-0.030000768944122944,-0.016524714055632023,0.10640651119210381,0.13404854813589864,0.043094186260015044,-0.026675249025416254,-0.0417380849833239,0.030565520614683556,0.01542751077656005,0.008262274855329486,0.03336956566262031,-0.004268140655736411,0.14228033732555476,0.009726879428919005,0.09959445744928025,0.0428546239015888,0.004208143020855176,-0.044194655435556084,0.01134745961319737
HEXCER,0.038522117526275705,0.1291672222488436,0.19965409980336207,0.052995487899143254,0.07890598755184505,0.032535509057203864,0.04521131916751972,0.1540355133017438,0.1214866834900021,0.1127716479125301,0.24126261645997313,0.15364083885334306,0.02530002045044056,0.07991769537618326,0.11471899974221055,0.11817565046808715,0.04258651217231193,0.16657663235459075,0.18029210045314575,0.08568821964148987,0.09605802477362982,0.14416014633451893,0.12352327233343693,0.11414639592514138,0.11988652511302655,0.1016075298889824,0.1090062597291814,0.08120299705203268,0.12080348799190616,0.12670480980207102,0.12354531798232046,-0.015351270257134854,0.07835308471516976,0.06971904950620547,0.08516303091303598,-0.023954973385464734,0.08525197865173648,0.014804611500490783,0.04684853139679875,0.17456680435563512,0.11901987841281594,0.13894595729442039,0.19098022137773757,0.15684236789517655,0.051810618409067706,0.01732711598465934,0.0014061281057961216,0.182054547774598,0.09866848914673428,0.12535466610730636,0.2258071907332043,0.08856174559077679,0.07158428920458418,0.17606774037988085,0.0819293737618069,0.03147878924154483,0.1696372805923489,0.07187078425349719,0.0919403214383578,0.04973149235505148,0.05167516637270788,0.15756745685893941,0.11202862375539151,,0.11746737226882893,0.17188206382796525,0.00023302801836060474,-0.02517354371866836,0.06024673289282834,0.10929542373661583,0.05199253723998714,0.17454445394475454,0.09380012488939836,0.0354878971146077,0.1224152612135839,0.17710007223141153,0.18695418331721403,0.01902106997320831,-0.03484825060683473,0.05005039507187427,0.045054443229607465,0.1637186308619909,0.11181359698080812,0.05427154433194502,0.13101689548720333,-0.05172652539152354,-0.006176614885734129,0.03570310120387067,0.02566350460632989,0.006538934403073755,-0.029161127681271395
HEX2CER,-0.04637775850538776,0.07934223216889448,0.14744225553551746,-0.04080616425490474,-0.03739198186323125,-0.06706174758293194,-0.061470266293653625,0.03556007134888105,0.056513057741062654,0.05911461663610033,0.055815368530552516,0.0640160924054801,-0.07879473560357271,-0.03982880275165686,0.09374817051703639,0.035977934728463605,-0.00550339835816294,0.0526642288615672,0.1274068742259116,0.06882540238479135,0.0005551604244836805,0.03712382975927471,0.002974925563134602,0.07883439041116105,0.07299148839564543,0.0813243509087857,0.009876115567195915,-0.034953313205467844,-0.0004074478844886883,0.08764698880733005,0.09121660778987475,-0.031041190977369817,0.0873008773408831,0.00041975817014534714,0.0424014429123846,-0.05182331637927512,0.05420102717352786,0.011126640206795518,-0.01610437209097203,0.10160565285959115,0.07454541166366693,0.10194214283173701,0.08807515424520268,0.14684954859789454,0.0017123557538479555,-0.017893124867776108,-0.046263301246140705,0.1333873725420588,0.07769522967500303,0.013684362446428863,0.12016243189377773,0.019121595520944067,0.08403797089954185,0.07912309863909159,-0.0015168187727526861,0.018847096475023372,0.11220313338410537,0.039811622246338184,0.05944328458870721,-0.03998967528476461,-0.014890540592619258,0.08403304078811641,0.08613024627011058,,0.14329662454712913,0.18643026570449944,0.011734891092262476,0.04931856685575907,0.07685794476538454,0.11836943245082657,0.1192720786264633,0.032472612102442955,0.015220895774430252,0.061413219769366936,0.16265362142245327,0.18141521591251042,0.2008058116082281,0.01651114208964623,0.01219145424204168,0.006805201530414165,0.07404747196481416,0.012387811526455125,-0.0019273066525624053,0.04508285636721629,0.1778216114984495,-0.03847323833239234,-0.0014925886874513272,-0.06020267925014679,-0.048684602152360035,-0.009336474940840429,0.02377453335662309
HEX3CER,-0.17390252506936146,0.020336836433791323,-0.05510988130644046,0.034253331311963224,-0.09509167133524057,0.020240166956204845,-0.09834921688826749,-0.08738889905023414,-0.0655038467969702,-0.06467416468790092,-0.05376894129674648,-0.12154261720558472,-0.07955155556008443,-0.027173218578016942,-0.0074987396629955134,0.037945082623407775,-0.09798628173175818,0.0062866160283131635,-0.030605482161110125,-0.001293774095791054,-0.06775650055982178,-0.004255859248516835,-0.07782045364384958,-0.16026333484998428,-0.06761444871481384,-0.00579190632122442,0.0010278580531556192,-0.07518610025534575,0.021066995109465896,-0.024750812173742257,-0.030529054359551278,-0.009483855066580251,-0.0892640141025999,-0.05071922642786134,-0.1290139964125249,-0.06305677312734388,-0.03525039493765774,0.04629969393672365,-0.034175661847243466,-0.003669367509682225,0.011529673478458848,-0.02784240236728812,-0.05654708380695539,0.004999139855908554,-0.0055784081427600555,-0.08087804005192487,-0.12400601101138894,0.07754629307402701,-0.004504530210491735,0.008248466838230063,-0.057846430562097435,-0.0531281698000944,-0.011776465293423482,-0.024909059588077025,-0.04340150849747277,-0.09451228567744065,-0.06416570320143149,-0.05547644849044912,-0.0008227978168597007,-0.09598500319801428,-0.056997464903297844,-0.007444278736816525,-0.07268789514133697,,0.03296043842118587,0.005119889413856932,-0.05821515641501217,0.014632832574840549,-0.03613268777644604,0.03909587699990948,0.10433810205047019,-0.058718312733424066,-0.0565135045663243,-0.06369523580805556,0.028234424157648794,0.10030422926007825,0.013194922175350817,-0.07416490557720473,-0.016125214603083436,-0.02675206780044968,0.0367319646631425,-0.05658178845399377,-0.004437137306290108,-0.05176341055397434,0.039768352887428374,0.0071557689684178215,-0.03501776497945687,0.051359688065505275,-0.014472722908595019,0.0011364320623844654,-0.029452347266815036
GM3,-0.014582309105293465,0.038066072539329705,-0.060852934508589716,0.03223283312581232,-0.06571862430697994,-0.0335327348118087,-0.0788947472466336,-0.08065155544110383,-0.05634166502909593,0.015261335950218304,-0.020058809776512403,0.007355891888440398,-0.08976178340506454,0.023197761713907087,-0.004320430200040527,-0.028682057074620133,-0.036799522808260016,-0.01621757308211754,-0.07278610266328772,-0.028702551913306135,-0.050800449892089476,0.0170492210215423,-0.09194362099213987,-0.016967617742023773,0.018143803913972474,0.029402353930424154,-0.06531354470305176,-0.04180082445970174,-0.07720516957855823,0.0768110248594317,0.013446851387868827,0.06176734445448443,-0.004320940342357159,-0.011216836241516885,-0.0678561431749315,0.02239932489294967,-0.016618278267968935,0.03447146312792942,-0.03374001529062796,0.02590352304919695,0.047224162115565495,0.016070489296939928,-0.04603417672339098,-0.0035843087768142054,-0.012541281063848097,-0.02411171495560219,-0.09114568472365794,0.038396374146519655,-0.0695975954803217,0.059973812827161306,-0.07807653378866232,-0.11481167212060478,0.01970899117346517,-0.018526856658351583,-0.07262933146298169,0.013738402762972252,0.057637286029379765,-0.00550498249379467,-0.036728112299278866,-0.025413451481580158,-0.08442737815962527,0.019412518737842662,-0.009535513081071395,,0.07082221018647178,0.054783052347382406,0.061005919457466085,0.08849454051126748,0.05029804040104063,0.07358539807832706,0.16078307131888953,0.03716063759444352,0.017695717316540616,0.009296930230036629,0.0658206163977896,0.13087210671087002,0.06907817815802592,0.04481757669085148,0.07396700262303232,0.039735473253778804,0.03834876627957169,0.02900878605622137,0.05482942813841126,-0.0601234614830074,0.07945520959718981,0.04638868958600371,-0.02720309096477166,0.04593569056319454,0.004931381802672534,0.009213201735966467,0.004784014986330604
GM1,-0.08973421507210272,0.05203284039823147,0.13667052745960118,0.04633872398415534,0.049258203913429506,0.009172201608301287,0.025457298065845995,0.041893150265639625,0.08529648203412082,0.04929634430124936,0.09261670487892795,0.05701043190263114,0.017831929665135037,0.05684005628080112,0.101911741199568,0.047743458017779856,0.010863512775711976,0.09691555563678286,0.1222770163887369,0.06149431528862592,-0.03696697586485355,0.004215023334331805,0.001975251795633581,0.010539984315057357,0.06324638965509086,0.10284348558138331,-0.009055907842026558,0.010252373300180162,0.017405380798557284,0.030458287043554223,0.08137002752126077,-0.014589646299471725,0.06511076736899041,-0.0015852284570853502,0.06751979231852212,0.010266972263893384,0.07473238464906884,0.05289379569779721,0.051291722487744676,0.063614125453339,0.09620545920863635,0.06757587746096994,0.12250599331642763,0.10349203567958988,0.10097788232020818,0.029280050469219877,-0.027359066609877483,0.07347432056188258,-0.0009947599452126371,0.03899298351407687,0.12736639765452296,0.027732889070748563,-0.04428933785263471,0.04067117338466084,-0.008196022245138991,0.033509775364624635,0.11409698862008623,0.07343858302785422,0.018649344070382694,0.009587497421251222,-0.014076098289478782,0.0318159811111456,0.09468570825429662,,0.06430300478896284,0.12627204037410295,0.054622410913237926,0.0845494375963282,0.13821814174614247,0.07647290690294452,0.0944037995899406,0.06679109556324714,0.04979782967934191,0.07362056244147375,0.10239877068766712,0.10903197945324544,0.14814259234138155,0.025306720757709112,0.08651187023714349,0.06793963153018691,0.05865566947446549,0.09287581124223321,0.045050809162069744,0.03484103577451627,0.14488189730863793,0.060751598339994446,0.009615067117840022,0.054803969927676964,-0.009777250071723047,0.00712967759859206,0.050497019230833357
